ID,name,handedness,height,weight,avg,HR
2,Denny Lemaster,Right,73,182,0.13,4
3,Joe Nolan,Left,71,175,0.263,27
4,Denny Doyle,Left,69,175,0.25,16
5,Jose Cardenal,Right,70,150,0.275,138
6,Mike Ryan,Right,74,205,0.193,28
7,Fritz Peterson,Both,72,185,0.159,2
8,Dick Bertell,Right,72,200,0.25,10
9,Rod Kanehl,Right,73,180,0.241,6
13,Juan Bonilla,Right,69,170,0.256,7
14,Frank Tepedino,Left,71,185,0.241,6
16,Rick Wise,Right,73,180,0.195,15
17,Darrell Evans,Left,74,200,0.248,414
18,Buck Martinez,Right,70,190,0.225,58
19,John Wockenfuss,Right,72,190,0.262,86
20,Tommy McCraw,Left,72,183,0.246,75
24,Lee Lacy,Right,73,175,0.286,91
25,Pete Rose,Both,71,192,0.303,160
26,Danny Walton,Right,72,195,0.223,28
27,Bobby Cox,Right,71,180,0.225,9
28,Brad Wellman,Right,72,170,0.231,6
29,Jeff Newman,Right,74,215,0.224,63
30,Pedro Gonzalez,Right,72,176,0.244,8
32,Tommie Reynolds,Right,74,190,0.226,12
33,Gene Clines,Right,69,170,0.277,5
34,Jim Hickman,Right,75,192,0.252,159
36,Jerry Buchek,Right,71,185,0.22,22
37,Ivan DeJesus,Right,71,175,0.254,21
38,Gary Nolan,Right,74,197,0.138,1
40,Fred Whitfield,Left,73,190,0.253,108
41,Larry Dierker,Right,76,215,0.136,4
42,Dave Skaggs,Right,74,200,0.241,3
43,Dick Ruthven,Right,75,190,0.183,1
46,Dave Kingman,Right,78,210,0.236,442
47,Eric Soderholm,Right,71,187,0.264,102
49,Ed Brinkman,Right,72,170,0.224,60
50,Wayne Garrett,Left,71,175,0.239,61
51,Tony Muser,Left,74,180,0.259,7
54,Ted Ford,Right,70,180,0.219,17
56,Jim Lyttle,Left,72,180,0.248,9
59,Scot Thompson,Left,75,195,0.262,5
60,Gene Locklear,Left,70,165,0.274,9
61,Bo Diaz,Right,71,185,0.255,87
62,Bump Wills,Both,69,172,0.266,36
64,Pat Putnam,Left,72,205,0.255,63
65,Kurt Bevacqua,Right,72,180,0.236,27
67,Syd O'Brien,Right,73,185,0.23,24
68,Chris Chambliss,Left,73,195,0.279,185
69,Tom Satriano,Left,73,185,0.225,21
70,Jeffrey Leonard,Right,74,200,0.266,144
71,Dal Maxvill,Right,71,157,0.217,6
73,Cesar Tovar,Right,69,155,0.278,46
76,Jack Heidemann,Right,72,175,0.211,9
77,Rich Rollins,Right,70,185,0.269,77
78,Walt Bond,Left,79,228,0.256,41
79,Merv Rettenmund,Right,70,190,0.271,66
81,Byron Browne,Right,74,190,0.236,30
82,Hector Torres,Right,72,175,0.216,18
83,Walt Williams,Right,66,165,0.27,33
84,Jerry Koosman,Right,74,205,0.119,2
85,Steve Lombardozzi,Right,72,175,0.233,20
86,Joe Azcue,Right,72,190,0.252,50
87,Elliott Maddox,Right,71,180,0.261,18
88,Omar Moreno,Left,74,180,0.252,37
89,Julian Javier,Right,73,175,0.257,78
91,Elio Chacon,Right,69,160,0.232,4
92,Rusty Torres,Both,70,175,0.212,35
93,John Stearns,Right,72,185,0.26,46
94,Larry Brown,Right,70,160,0.233,47
95,Tommy Dean,Right,72,165,0.18,4
99,Bruce Boisclair,Left,74,185,0.263,10
100,Ken Singleton,Both,76,210,0.282,246
101,Frank White,Right,71,165,0.255,160
102,Jim Fairey,Left,70,190,0.235,7
104,Tom Brookens,Right,70,165,0.246,71
105,Gary Thomasson,Left,73,180,0.249,61
109,Otto Velez,Right,72,170,0.251,78
110,Tony Scott,Both,72,164,0.249,17
111,Ray Oyler,Right,71,165,0.175,15
